date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-12-26,326.7,320.25,296.35,35.98,6.45,23.9,25.71,32.11,1.3995,,,
2025-12-29,328.85,322.5,298.3,35.38,6.35,24.2,25.81,32.0,1.3708,,,
2025-12-30,327.3,321.3,295.95,34.96,6.0,25.35,25.78,31.34,1.3561,,,
2025-12-31,326.0,320.15,296.05,35.46,5.85,24.1,25.74,30.91,1.3776,,,
2026-01-02,334.25,328.45,323.05,34.96,5.8,5.4,25.19,31.14,1.3879,,,
2026-01-05,334.4,328.45,323.05,35.7,5.95,5.4,23.19,30.75,1.5395,,,
2026-01-06,344.55,337.85,332.1,36.23,6.7,5.75,24.77,31.02,1.4627,-0.2667,2.0088,-0.818
2026-01-07,347.25,340.6,334.75,36.05,6.65,5.85,24.14,30.93,1.4934,-0.349,2.1383,-0.8223
2026-01-08,345.4,338.65,333.0,36.91,6.75,5.65,23.67,30.33,1.5594,0.0074,2.438,-0.8069
2026-01-09,332.95,326.35,320.65,35.91,6.6,5.7,25.17,30.98,1.4267,-0.4198,1.7473,-0.824
2026-01-12,331.95,325.65,320.05,35.26,6.3,5.6,25.11,30.87,1.4042,-0.7015,1.6188,-0.8605
2026-01-13,335.25,329.05,323.9,35.23,6.2,5.15,25.27,30.94,1.3941,-0.7224,1.5537,-0.8702
2026-01-14,332.1,326.3,321.25,35.1,5.8,5.05,25.37,30.99,1.3835,-0.7871,1.4876,-0.9185
2026-01-15,334.15,328.35,323.3,35.35,5.8,5.05,24.96,30.78,1.4163,-0.6897,1.6325,-0.9145
2026-01-16,331.35,325.5,320.55,34.57,5.85,4.95,25.06,30.41,1.3795,-1.0418,1.4395,-0.904
2026-01-20,323.55,317.7,312.85,35.01,5.85,4.85,24.83,30.55,1.41,-0.8518,1.5795,-0.9
2026-01-21,324.25,318.25,313.2,35.22,6.0,5.05,24.51,30.18,1.437,-0.764,1.699,-0.8766
2026-01-22,324.8,318.85,313.7,35.09,5.95,5.15,23.52,30.1,1.4919,-0.8238,1.951,-0.8792
2026-01-23,327.05,321.1,315.95,34.89,5.95,5.15,23.47,29.42,1.4866,-0.9152,1.9135,-0.8752
2026-01-26,331.3,325.35,320.15,35.02,5.95,5.2,23.5,29.49,1.4902,-0.8567,1.9201,-0.87
2026-01-27,338.85,331.95,325.95,35.39,6.9,6.0,24.27,29.67,1.4582,-0.6935,1.7589,-0.7426
2026-01-28,327.0,320.6,314.95,36.22,6.4,5.65,26.03,30.52,1.3915,-0.3312,1.4377,-0.8023
2026-01-29,322.15,316.25,310.85,36.23,5.9,5.4,25.55,30.65,1.418,-0.3278,1.569,-0.8614
2026-01-30,309.0,303.75,298.85,36.88,5.25,4.9,27.48,30.76,1.3421,-0.0431,1.2166,-0.9388
2026-02-02,308.5,303.05,297.95,36.64,5.45,5.1,27.21,30.75,1.3466,-0.1496,1.247,-0.9064
2026-02-03,295.65,290.75,285.85,37.61,4.9,4.9,29.7,31.22,1.2663,0.2754,0.8739,-0.9699
2026-02-04,293.0,288.0,283.2,38.15,5.0,4.8,29.72,30.3,1.2836,0.5107,0.968,-0.9498
2026-02-05,291.35,286.55,281.8,37.95,4.8,4.75,28.86,30.07,1.315,0.4209,1.1325,-0.9682
2026-02-06,284.0,279.45,275.15,38.69,4.55,4.3,29.53,30.04,1.3102,0.7441,1.1372,-0.9927
2026-02-09,288.6,284.0,279.8,37.91,4.6,4.2,30.12,30.13,1.2586,0.3989,0.9075,-0.9787
2026-02-10,285.4,280.8,276.65,36.83,4.6,4.15,29.8,27.67,1.2359,-0.0737,0.8128,-0.9712
2026-02-11,289.1,284.9,280.75,36.77,4.2,4.15,30.06,27.86,1.2232,-0.099,0.7654,-1.0147
2026-02-12,293.7,289.7,285.55,36.52,4.0,4.15,30.61,28.11,1.1931,-0.2056,0.6145,-1.0324
2026-02-13,294.35,290.15,285.9,36.9,4.2,4.25,30.66,28.1,1.2035,-0.0366,0.6673,-0.9993
